# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur
;;Calta;Christoph Josef;m;1985;Meitingen;Augsburg;Schlosser;;;;;;BY;BP;Bayernpartei;4;
;;Carapinha Hesse;Alexander;m;1984;Stuhr;Bremen;Politikwissenschaftler;NI;33;Diepholz – Nienburg I;FDP;Freie Demokratische Partei;NI;FDP;Freie Demokratische Partei;26;
;;Carius;Achim;m;1954;Oestrich-Winkel;Wiesbaden;Rechtsanwalt;;;;;;HE;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;42;
Dr.;;Castellucci;Lars;m;1974;Wiesloch;Heidelberg;MdB / Hochschulprofessor;BW;277;Rhein-Neckar;SPD;Sozialdemokratische Partei Deutschlands;BW;SPD;Sozialdemokratische Partei Deutschlands;12;X
;;Castrup;Anke Karin;w;1965;Köln;Gütersloh;Angestellte;;;;;;NW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;25;
;;Catalan Sanchez;Vanessa Barbara;w;1980;Hamburg;Mosbach;Beamtin;;;;;;HH;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;3;
;;Cedel;Sebastian;m;1984;Chemnitz;Erlabrunn;Student;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;
;;Celik;Ahmet;m;1976;Datteln;Datteln;Dipl.-Vertriebsingenieur (FH);;;;;;NW;-;Allianz Deutscher Demokraten;7;
;;Çelikkan;Tevfik;m;1967;Frechen;Frechen;Analyse-Agent;NW;91;Rhein-Erft-Kreis I;EB: Çelikkan;Freier Parteiloser Direktkandidat;;;;;
;;Çelikkol;Meryem Dagmar;w;1969;Hamburg;Hamburg;wiss. Mitarbeiterin;HH;18;Hamburg-Mitte;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;7;
;;Cetin;Filiz;w;1976;Essenbach;Göppingen;Fachwirtin im Sozial- und Gesundheitswesen;;;;;;BY;SPD;Sozialdemokratische Partei Deutschlands;47;
;;Cezanne;Jörg;m;1958;Mörfelden-Walldorf;Frankfurt am Main;Geschäftsführer;HE;184;Groß-Gerau;DIE LINKE;DIE LINKE;HE;DIE LINKE;DIE LINKE;4;
;;Christ;Steffen Michel Sigmar;m;1969;Recklinghausen;Stuttgart;selbständig;NW;121;Recklinghausen I;AfD;Alternative für Deutschland;;;;;
;;Christann;Monika Brigitte;w;1952;Frankfurt am Main;Münster (Westf.);Gewerkschaftssekretärin;HE;183;Frankfurt am Main II;DIE LINKE;DIE LINKE;HE;DIE LINKE;DIE LINKE;9;
;;Christl;Heinrich;m;1949;Bad Liebenzell;Grappertshofen;Lehrer / Handwerksmeister;;;;;;BW;BGE;Bündnis Grundeinkommen;9;
Dr.;;Christmann;Anna;w;1983;Stuttgart;Hannover;wiss. Referentin;BW;259;Stuttgart II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;11;
;;Christoleit;Rolf;m;1955;Sterup;Hannover;kfm. Angestellter;;;;;;SH;BGE;Bündnis Grundeinkommen;9;
;;Chrupalla;Tino;m;1975;Gablenz;Weißwasser;Malermeister;SN;157;Görlitz;AfD;Alternative für Deutschland;SN;AfD;Alternative für Deutschland;5;
;;Cieszynski;Thomas;m;1967;Bönen;Dortmund;Justizbeamter;NW;144;Unna I;FREIE WÄHLER;FREIE WÄHLER;;;;;
;;Cinar;Mahmut;m;1982;Norderstedt;Hamburg;Integrationslehrer;;;;;;SH;SPD;Sozialdemokratische Partei Deutschlands;15;
;;Cingi;Selcuk;m;1983;Grevenbroich;Düsseldorf;Leiter Projektmanagement / Dipl.-Kaufmann;;;;;;NW;-;Allianz Deutscher Demokraten;2;
;;Ciresa;Eugen;m;1957;Allmendingen;Schelklingen;Elektroniker;BW;291;Ulm;AfD;Alternative für Deutschland;;;;;
;;Clausecker;Robert;m;1994;Berlin;Berlin;Student;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;58;
;;Cleiß;Johannes;m;1984;Gärtringen;Offenburg;Jurist;;;;;;BW;BGE;Bündnis Grundeinkommen;16;
;;Clemens;Antje Christine;w;1985;Aschaffenburg;Villingen;Angestellte;BY;249;Main-Spessart;DIE LINKE;DIE LINKE;;;;;
;;Clostermann;Marcel Stephan;m;1987;Dortmund;Aachen;Dipl.-Mathematiker;NW;144;Unna I;PIRATEN;Piratenpartei Deutschland;;;;;
;;Coeln;Felix;m;1965;Köln;Köln;Jugendhelfer;;;;;;NW;BGE;Bündnis Grundeinkommen;6;
Dr.;;Cohnen;Thomas;m;1968;Neustadt an der Weinstraße;Wiesbaden;Lehrer;RP;208;Neustadt – Speyer;-;Neue Liberale – Die Sozialliberalen;;;;;
;;Collée;Miriam;w;1986;Elz;Weilburg;Verwaltungsfachangestellte;;;;;;HE;SPD;Sozialdemokratische Partei Deutschlands;34;
;;Collin;Jörg-Rainer;m;1953;Brandenburg an der Havel;Brandenburg an der Havel;Dipl.-Wirtschaftsingenieur (FH);;;;;;BB;ÖDP;Ökologisch-Demokratische Partei;1;
;;Connemann;Gitta;w;1964;Hesel;Leer (Ostfriedland);MdB / Rechtsanwältin;NI;25;Unterems;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;7;X
;;Conrad;Gabriele;w;1960;Esslingen am Neckar;Karlsruhe;Elektronikerin;BW;261;Esslingen;MLPD;Marxistisch-Leninistische Partei Deutschlands;BW;MLPD;Marxistisch-Leninistische Partei Deutschlands;13;
Dr.;;Conradi;Ralf-Günther;m;1956;Berlin;Westerland (Sylt);Verbandsjurist;;;;;;BE;AfD;Alternative für Deutschland;10;
;;Corongiu;Enrico;m;1978;Mittenwald;Garmisch-Partenkirchen;Rettungsassistent;BY;226;Weilheim;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;39;
;;Cortez de Lobao;Kirsten;w;1963;Saarlouis;Erbach (Odenwald);Dipl.-Sozialpädagogin;SL;297;Saarlouis;FDP;Freie Demokratische Partei;SL;FDP;Freie Demokratische Partei;3;
;;Corticelli;Peter Anton;m;1970;Buchbach;Mainburg;Produktmanager;;;;;;BY;FDP;Freie Demokratische Partei;42;
;;Coße;Jürgen;m;1969;Neuenkirchen;Neuenkirchen;MdB / Angestellter;NW;128;Steinfurt III;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;29;X
;;Coste;Carl Cevin-Key;m;1996;Hamburg;Hamburg;Student / wiss. Mitarbeiter;HH;23;Hamburg-Bergedorf – Harburg;FDP;Freie Demokratische Partei;HH;FDP;Freie Demokratische Partei;6;
;;Cotar;Joana Eleonora;w;1973;Langgöns;Pitesti, Rumänien;selbständig;;;;;;HE;AfD;Alternative für Deutschland;2;
;;Covolo;Caroline;w;1988;Emstek;Cloppenburg;polit. Referentin;NI;32;Cloppenburg – Vechta;FDP;Freie Demokratische Partei;NI;FDP;Freie Demokratische Partei;11;
;von;Cramon-Taubadel;Viola;w;1970;Waake;Halle (Westf.);Dipl.-Agraringenieurin;NI;52;Goslar – Northeim – Osterode;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NI;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;9;
;;Cremer;Claus;m;1979;Bochum;Bochum;Industriekaufmann;;;;;;NW;NPD;Nationaldemokratische Partei Deutschlands;2;
;;Cronenberg;Carl-Julius;m;1962;Arnsberg;Arnsberg;Unternehmer;NW;147;Hochsauerlandkreis;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;14;
Dr.;;Curio;Gottfried;m;1960;Berlin;Berlin;MdAB;;;;;;BE;AfD;Alternative für Deutschland;2;
Dr.;;Cyron;Anna Elisabeth;w;1955;Rosenheim;Oberaudorf;Politikwissenschaftlerin;;;;;;BY;AfD;Alternative für Deutschland;21;
;;Czech;Michael;m;1955;Berlin;Dahlen;Maurer;;;;;;BE;DKP;Deutsche Kommunistische Partei;4;
;;Czich;Sebastian;m;1980;Leipzig;Markranstädt;Restaurantfachmann;;;;;;SN;PIRATEN;Piratenpartei Deutschland;6;
;;Czylwick;Achim;m;1954;Witten;Espelkamp-Mittwald;Drucker;NW;139;Ennepe-Ruhr-Kreis II;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
;;Dachner;Jonas;m;1986;Karlsruhe;Pforzheim;Elektrotechniker;BW;271;Karlsruhe-Stadt;MLPD;Marxistisch-Leninistische Partei Deutschlands;BW;MLPD;Marxistisch-Leninistische Partei Deutschlands;5;
;;Dachner;Michael;m;1957;Karlsruhe;Pforzheim;Angestellter;BW;278;Bruchsal – Schwetzingen;EB: Dachner;Internationalistische Liste;;;;;
;;Dachroth;Mirko;m;1975;Hoppegarten;Pritzwalk;Berufsoffizier;BB;59;Märkisch-Oderland – Barnim II;FDP;Freie Demokratische Partei;BB;FDP;Freie Demokratische Partei;4;
;;Dağdelen;Sevim;w;1975;Bochum;Duisburg;Journalistin;NW;140;Bochum I;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;3;X
;;Dagli;Seyhan;w;1969;Datteln;Kumru, Türkei;Angestellte;;;;;;NW;-;Allianz Deutscher Demokraten;8;
;;Dahlmann;Thomas;m;1960;Hamm;Hamm;Geschäftsführer;;;;;;NW;SPD;Sozialdemokratische Partei Deutschlands;74;
;;Dahlmanns;Stefan;m;1965;Mönchengladbach;Anrath (jetzt Willich);Techniker;NW;109;Mönchengladbach;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;38;
Dr.;;Dahmen;Janosch;m;1981;Witten;Berlin;Arzt;NW;139;Ennepe-Ruhr-Kreis II;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;14;
;;Daldrup;Bernhard;m;1956;Sendenhorst;Sendenhorst;MdB;NW;130;Warendorf;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;7;X
;;Dallheimer;Johannes Albert;m;1994;Nürnberg;Veracruz, Mexiko;Student;BY;241;Ansbach;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;20;
;;Damerow;Astrid;w;1958;Karlum;Bonndorf im Schwarzwald;geschäftsf. Gesellschafterin Coaching und Beratung;SH;2;Nordfriesland – Dithmarschen Nord;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;SH;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;5;
;;Dammann;Manfred;m;1959;Wohnste;Wohnste;Tischlermeister;;;;;;NI;NPD;Nationaldemokratische Partei Deutschlands;4;
;;Dammann;Steffen;m;1980;Zerbst/Anhalt;Haldensleben;Elektrotechnikermeister;;;;;;ST;BGE;Bündnis Grundeinkommen;8;
;;Damson;Thomas;m;1981;Bendorf;Stuttgart;Lehrer;RP;199;Koblenz;AfD;Alternative für Deutschland;RP;AfD;Alternative für Deutschland;11;
;;Daniel-Sommer;Jens;m;1957;Berlin;Hannover;Gärtnermeister;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;49;
;;Danschikov;Stanislav;m;1976;Nordenham;Elista;Maschinenführer;;;;;;NI;NPD;Nationaldemokratische Partei Deutschlands;11;
;;Darge;Ekkehard Martin Walter;m;1971;Kassel;Sögel;Windparkplaner;;;;;;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;24;
;;Darguß;Frank;m;1979;Hannover;Salzwedel;Angestellter;;;;;;NI;DKP;Deutsche Kommunistische Partei;5;
;;Dassler;Britta Katharina;w;1964;Herzogenaurach;Jülich;Unternehmerin;BY;242;Erlangen;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;9;
;;Datli;Burhanettin;m;1966;Duisburg;Acipinar, Türkei;Versicherungskaufmann;NW;116;Duisburg II;EB: Datli;Datli;;;;;
;;Daubertshäuser;Doris;w;1955;Ober-Mörlen;Bad Nauheim;freiberufl. Illustratorin;;;;;;HE;AfD;Alternative für Deutschland;18;
;;Dayi;Defne Ilayda;w;1998;Villingen-Schwenningen;Rottweiler;Schülerin;;;;;;BW;FREIE WÄHLER;FREIE WÄHLER;12;
;;Dayi;Dursun;m;1964;Villingen-Schwenningen;Istanbul, Türkei;Mechaniker;BW;286;Schwarzwald-Baar;FREIE WÄHLER;FREIE WÄHLER;BW;FREIE WÄHLER;FREIE WÄHLER;6;
;;Deboy;Jan Patrick Jürgen;m;1985;Gernsheim;Heppenheim (Bergstraße);Kulturanthropologe;HE;184;Groß-Gerau;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;23;
;;Debus;Christian Oliver Elmar;m;1969;Bad Homburg v. d. Höhe;Bad Homburg v. d. Höhe;selbst. Dozent;;;;;;HE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;21;
;;Deger;Gökhan;m;1973;München;Ulm;Elektromechaniker;;;;;;BY;FREIE WÄHLER;FREIE WÄHLER;40;
;;Degert;Anjana;w;1972;Nürnberg;Sigmaringen;selbst. Friseurmeisterin;BY;245;Nürnberg-Süd;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;31;
;;Dehler;Stephan;m;1984;Trebur;Berlin;Geschäftsführer;HE;184;Groß-Gerau;FDP;Freie Demokratische Partei;HE;FDP;Freie Demokratische Partei;18;
Dr.;;Dehm-Desoi;Jörg-Diether Wilhelm;m;1950;Sehnde;Frankfurt am Main;Liederautor / Medienunternehmer;NI;43;Hannover-Land I;DIE LINKE;DIE LINKE;NI;DIE LINKE;DIE LINKE;2;X
;;Dejosez;Jacqueline;w;1993;Rostock;Aachen;Studentin;;;;;;MV;SPD;Sozialdemokratische Partei Deutschlands;7;
;;Delhey;Bodo;m;1952;Gelnhausen;Meerholz;Dipl.-Ing. techn. Umweltschutz;HE;180;Hanau;FREIE WÄHLER;FREIE WÄHLER;HE;FREIE WÄHLER;FREIE WÄHLER;21;
;;Deligöz;Ekin;w;1971;Senden;Tokat, Türkei;MdB / Dipl.-Verwaltungswissenschaftlerin;BY;255;Neu-Ulm;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BY;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;X
;;Deller;Michael;m;1991;Ergolding;Landshut;Student;;;;;;BY;FDP;Freie Demokratische Partei;39;
;;Dembowski;Eric;m;1987;Chemnitz;Karl-Marx-Stadt (jetzt Chemnitz);Bürokaufmann;;;;;;SN;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;8;
;;Demirel;Phyliss Hatice;w;1964;Hamburg;Düzce, Türkei;Dipl.-Volkswirtin;HH;19;Hamburg-Altona;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;5;
;;Demper;Silvia;w;1982;Dautphetal;Marburg;Lehrerin;;;;;;HE;SPD;Sozialdemokratische Partei Deutschlands;38;
;;Dempfle;Hermann Johann;m;1957;Rott;Apfeldorf;Biobauer;;;;;;BY;BP;Bayernpartei;12;
;;Demuth;Ellen;w;1982;Linz am Rhein;Linz;Dipl.-Betriebswirtin (FH);;;;;;RP;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;33;
;;Denecke;Torben;m;1983;Berlin;Itzehoe;Controller;;;;;;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;18;
;;Dengler;Johannes;m;1955;Sasbachwalden;Stuttgart;Lehrer für Stimmbildung;;;;;;BW;DM;Deutsche Mitte;10;
;;Dengler;Lisa;w;1990;Pforzheim;Stuttgart;Studentin;;;;;;BW;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;12;
;;Denker;Katharina Luise Lotti;w;1985;Hamburg;Braunschweig;Verwaltungsangestellte;;;;;;HH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;
;;Dennenmoser;Simon;m;1991;Göppingen;Dillingen a.d.Donau;Beamter;;;;;;BW;AfD;Alternative für Deutschland;21;
Dr.;;Depner;Martin Michael;m;1958;Ronnenberg;Golt;Fachzahnarzt für Kieferorthopädie;;;;;;NI;AfD;Alternative für Deutschland;23;
;;Deppe;Thomas;m;1986;Göttingen;Northeim;Betriebswirt / Wirtschaftshistoriker;;;;;;NI;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;50;
;;Deptala;Daniel;m;1988;Berlin;Berlin;Buchhalter;;;;;;BE;MENSCHLICHE WELT;Menschliche Welt;4;
;;Derabin;Paul;m;1988;Laatzen;Tschernenko, Russland;Rechtsreferendar;;;;;;NI;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;52;
;;Dernedde;Henri;m;1995;Fürth;Fürth;Student;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;21;
;;Dettke;Martina;w;1963;Kleinmachnow;Berlin;Augenoptikermeisterin;;;;;;BB;SPD;Sozialdemokratische Partei Deutschlands;23;
;;Dettmann;Jürgen;m;1966;Teterow;Teterow;Dipl.-Agraringenieur;;;;;;MV;FREIE WÄHLER;FREIE WÄHLER;12;
;;Deusch;Lars;m;1997;Immendingen;Tuttlingen;Auszubildender;;;;;;BW;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;7;
;;Deuter;Reinhold;m;1958;Aresing;Pfaffenhofen a.d.Ilm;Sattler und Feintäschner;;;;;;BY;PIRATEN;Piratenpartei Deutschland;11;
;;Deutsch;Paul;m;1951;Braunschweig;Bergen;Maschinenschlosser;NI;50;Braunschweig;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
;;Deutsch;Robin Klaus;m;1958;Köln;Köln;Fachkraft für Umwelttechnik;;;;;;NW;DM;Deutsche Mitte;5;
;von;Dewitz;Susanna;w;1973;Lauda-Königshofen;Nürnberg;Kraftverkehrsmeisterin;;;;;;BW;PIRATEN;Piratenpartei Deutschland;11;
Dr.;;Diaby;Karamba;m;1961;Halle (Saale);Marsassoum, Senegal;MdB / Dipl.-Chemiker;ST;72;Halle;SPD;Sozialdemokratische Partei Deutschlands;ST;SPD;Sozialdemokratische Partei Deutschlands;3;X
;;Dick;Gerhard;m;1954;Bremen;Leverkusen;Unternehmensberater;;;;;;HB;BGE;Bündnis Grundeinkommen;5;
;;Dick-Walther;Petra;w;1967;Bad Dürkheim;Bad Dürkheim;Steuerfachangestellte;;;;;;RP;FDP;Freie Demokratische Partei;8;
;;Diebel-Geries;Bärbel;w;1966;Gleichen;Niederjossa;Dipl.-Ingenieurin;;;;;;NI;SPD;Sozialdemokratische Partei Deutschlands;54;
;;Diebold;Gudrun;w;1956;Kirchberg an der Iller;Schramberg;Musikerin;BW;292;Biberach;ÖDP;Ökologisch-Demokratische Partei;BW;ÖDP;Ökologisch-Demokratische Partei;22;
;;Diebold;Patrick;m;1988;Ettlingen;Karlsruhe;Verwaltungsinspektor;BW;272;Karlsruhe-Land;SPD;Sozialdemokratische Partei Deutschlands;BW;SPD;Sozialdemokratische Partei Deutschlands;34;
;;Diedenhofen;Martin;m;1995;Erpel;Bad Honnef;Student;RP;197;Neuwied;SPD;Sozialdemokratische Partei Deutschlands;RP;SPD;Sozialdemokratische Partei Deutschlands;13;
;;Diederich;Anna;w;1995;Rostock;Rostock;Schülerin;;;;;;MV;ÖDP;Ökologisch-Demokratische Partei;2;
;;Diefenbach;Frank Reinhard Jakob;m;1969;Michelstadt;Jugenheim;Lehrer;HE;187;Odenwald;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;HE;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;14;
;;Diener;Nepomuk;m;1994;Halle (Saale);Halle (Saale);Student;;;;;;ST;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;8;
;;Dierkes-Morsy;Ulrike-Judith;w;1975;Hof;Düsseldorf;Sachbearbeiterin;BY;239;Hof;DIE LINKE;DIE LINKE;;;;;
;;Dierks;Carsten;m;1957;Bad Sobernheim;Oberhausen;Freiberufler;;;;;;RP;FDP;Freie Demokratische Partei;26;
;;Dietel;Guido;m;1963;Düsseldorf;Krefeld;selbst. IT-Berater;NW;106;Düsseldorf I;AfD;Alternative für Deutschland;;;;;
;;Dietl-Faude;Annette;w;1967;Oftersheim;Mannheim;Kauffrau im Groß- und Einzelhandel;;;;;;BW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;21;
;;Dietrich;Gabriele;w;1969;Markranstädt;Eisenhüttenstadt;Dipl.-Ingenieurin (FH);;;;;;SN;FREIE WÄHLER;FREIE WÄHLER;9;
Dr.;;Dietrich;Jens;m;1965;Ilmenau;Berlin-Charlottenburg;Chemiker;;;;;;TH;AfD;Alternative für Deutschland;6;
Dr.;;Dietrich;Manfred Werner Reinhold;m;1952;Müllrose;Müllrose;Ingenieur;BB;63;Frankfurt (Oder) – Oder-Spree;FDP;Freie Demokratische Partei;BB;FDP;Freie Demokratische Partei;6;
;;Dietz;David;m;1981;Mainz;Hachenburg;Angestellter;RP;205;Mainz;FDP;Freie Demokratische Partei;RP;FDP;Freie Demokratische Partei;6;
;;Dietz;Helmut;m;1950;Ravensburg;Heidenheim;Rentner;BW;294;Ravensburg;AfD;Alternative für Deutschland;;;;;
;;Dietz;Michael;m;1980;Nohfelden;Hermeskeil;Dipl.-Finanzwirt (FH);;;;;;SL;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;16;
;;Dietzler;Andreas Uwe;m;1972;Schöllkrippen;Furth (Oberhaching);Dipl.-Kaufmann (Univ.);;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;28;
;;Dietzmann;Frank Jens;m;1979;Kamenz;Großröhrsdorf;Dipl.-Betriebswirt (B. A.);;;;;;SN;DIE LINKE;DIE LINKE;16;
;;Dilcher;Esther;w;1965;Hofgeismar;Hofgeismar;Rechtsanwältin / Notarin;HE;167;Waldeck;SPD;Sozialdemokratische Partei Deutschlands;HE;SPD;Sozialdemokratische Partei Deutschlands;16;
;;Dillschneider;Jeanne Marie Aline;w;1995;Saarbrücken;Saarlouis;Studentin;;;;;;SL;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;3;
;;Dinar;Erkan;m;1980;Weißenburg i.Bay.;Weißenburg i.Bay.;Einzelhandelskaufmann;BY;228;Landshut;DIE LINKE;DIE LINKE;BY;DIE LINKE;DIE LINKE;8;
;;Dippel;Konrad Willibald;m;1971;Trabitz;Eschenbach i.d.OPf.;Holzkaufmann / Bio-Bauer;BY;235;Weiden;EB: Dippel;Unabhängig, bürgernah, transparent - für humane Marktwirtschaft, Frieden und Menschenwürde global. Vielen Dank für Ihre Stimme und Ihr Vertrauen!;;;;;
;;Disselhoff;Tim Justus;m;1992;Lüneburg;Bad Honnef;Student;;;;;;NI;DiB;DEMOKRATIE IN BEWEGUNG;6;
;;Distl;Marcel;m;1992;Freiberg am Neckar;Ludwigsburg;Student;BW;266;Neckar-Zaber;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;34;
;;Distler;Wolfgang;m;1976;Hitzhofen;Neumarkt i.d.OPf.;Forstbeamter;BY;216;Ingolstadt;BP;Bayernpartei;;;;;
;;Ditteney-Botzen;Axel Henning;m;1969;Düsseldorf;Mannheim;ltd. kfm. Mitarbeiter;;;;;;NW;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;14;
;;Dittmar;Sabine;w;1964;Maßbach;Schweinfurt;MdB;BY;248;Bad Kissingen;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;10;X
;;Dittrich;Tobias;m;1989;Frankfurt (Oder);Frankfurt (Oder);Versicherungsvermittler;;;;;;BB;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;8;
;;Djir-Sarai;Bijan;m;1976;Grevenbroich;Teheran, Iran;hauptamtl. Dezernent;NW;108;Neuss I;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;6;
;;Djonovic;Marina;w;1990;Oberkochen;Aalen;Einzelhandelskauffrau;BW;269;Backnang – Schwäbisch Gmünd;NPD;Nationaldemokratische Partei Deutschlands;BW;NPD;Nationaldemokratische Partei Deutschlands;6;
Dr.;;Dloczik;Larissa;w;1967;Berlin;Bielefeld;selbständig;;;;;;BE;ÖDP;Ökologisch-Demokratische Partei;4;
;;Dobberstein;Svenja Baukje;w;1979;Hannover;Hannover;Ärztin;;;;;;NI;BGE;Bündnis Grundeinkommen;4;
;;Dobelmann;Sven;m;1997;Ankum;Ankum;Politiker;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;25;
;;Dobrindt;Alexander;m;1970;Peißenberg;Peißenberg;MdB / Bundesminister;BY;226;Weilheim;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;2;X
;;Doebert;Steffen;m;1968;Berlin;Hennigsdorf;EU-Rentner;BE;85;Berlin-Marzahn-Hellersdorf;MIETERPARTEI;Mieterpartei;;;;;
;;Doll;Anton Robert;m;1958;Heiligenhafen;Ettringen;Polizeivollzugsbeamter;;;;;;SH;BGE;Bündnis Grundeinkommen;5;
;;Dolle;Christoph;m;1976;Warburg;Kassel;Jurist / Angestellter;;;;;;NW;SPD;Sozialdemokratische Partei Deutschlands;70;
;;Dolzer;Martin;m;1966;Hamburg;Kiel;MdHB / Journalist;HH;18;Hamburg-Mitte;DIE LINKE;DIE LINKE;;;;;
;;Domani-Bauer;Andrea Maria;w;1966;Hengersberg;Vilshofen;Verwaltungsbeamtin;;;;;;BY;FREIE WÄHLER;FREIE WÄHLER;38;
;;Domscheit-Berg;Anke;w;1968;Fürstenberg/Havel;Premnitz;Publizistin;BB;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;DIE LINKE;DIE LINKE;BB;DIE LINKE;DIE LINKE;3;
;;Donner;Jürgen;m;1965;Aachen;Werdohl;Consultant;;;;;;NW;DiB;DEMOKRATIE IN BEWEGUNG;9;
;;Donth;Michael;m;1967;Römerstein;Metzingen;MdB;BW;289;Reutlingen;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;;;;;X
;;Dopke;Lisa;w;1989;Hannover;Langenhagen;Studienreferendarin;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;
