# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur
;;Al Dailami;Ali Abass Yahya;m;1981;Gießen;Sanaa, Jemen;Restaurantfachmann;HE;173;Gießen;DIE LINKE;DIE LINKE;;;;;
Dr.;;Albach;Rolf William;m;1963;Köln;Bonn;Dipl.-Chemiker;NW;101;Leverkusen – Köln IV;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;26;
;;Albani;Stephan;m;1968;Bad Zwischenahn;Göttingen;MdB / Geschäftsführer;NI;27;Oldenburg – Ammerland;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;6;X
;;Albers;Bernhard;m;1969;Mannheim;Mannheim;Angestellter;;;;;;BW;BGE;Bündnis Grundeinkommen;5;
;;Albert;Joachim;m;1958;Neuwied;Neuwied;Wirtschafter;;;;;;RP;FREIE WÄHLER;FREIE WÄHLER;20;
;;Alberti;Manfred;m;1947;Hamburg;Uhlstädt-Oberkrossen;Rentner;;;;;;HH;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;19;
Prof.;;Albrecht;Erich Willy;m;1950;Maintal;Weimar;Professor;;;;;;HE;AfD;Alternative für Deutschland;19;
;;Albrecht;Frank;m;1967;Duisburg;Duisburg;Ministerialrat;NW;116;Duisburg II;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;22;
;;Albsteiger;Katrin;w;1983;Neu-Ulm;Ulm;MdB / Politologin;;;;;;BY;CSU;Christlich-Soziale Union in Bayern e.V.;29;X
;;Aldenhoven;Christina Flora;w;1983;Wetter (Ruhr);Duisburg;Medizinstudentin;;;;;;NW;ÖDP;Ökologisch-Demokratische Partei;3;
;;Alff;Daniel;m;1977;Schwerin;Güstow;Rechtsanwalt;;;;;;MV;SPD;Sozialdemokratische Partei Deutschlands;8;
;;Al-Hassan;Fares;m;1978;Berlin;Gardelegen;Kurator;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;B*;bergpartei, die überpartei;;;;;
;;Alias;Mazhar Hasan;m;1974;Gelsenkirchen;Al-Yaurubiya;Koch / Landschaftsgärtner;NW;125;Bottrop – Recklinghausen III;MLPD;Marxistisch-Leninistische Partei Deutschlands;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;13;
;;Allgayer-Reetze;Patricia Erika;w;1956;Zernien;Eichstätt;Hausfrau;;;;;;NI;AfD;Alternative für Deutschland;18;
;;Alloussi;Dyria;w;1980;Berlin;Homburg (Saar);Kommunikationswirtin;;;;;;BE;du.;Die Urbane. Eine HipHop Partei;4;
;;Alscher;Sebastian;m;1976;Frankfurt am Main;Berlin;Dipl.-Kaufmann;HE;183;Frankfurt am Main II;PIRATEN;Piratenpartei Deutschland;HE;PIRATEN;Piratenpartei Deutschland;1;
;;Alt;Renata;w;1965;Kirchheim unter Teck;Skalica;Chemieingenieurin;BW;262;Nürtingen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;7;
;;Altenkamp;Norbert Maria;m;1972;Bad Soden am Taunus;Marl;Bürgermeister;HE;181;Main-Taunus;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;HE;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;21;
;;Altmaier;Peter;m;1958;Rehlingen-Siersburg;Ensdorf / Saar;Jurist;SL;297;Saarlouis;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;SL;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;1;X
;;Altmann;Peter;m;1969;Karlsruhe;Schorndorf;Angestellter;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;13;
;;Amann;Dieter;m;1962;Waghäusel;Speyer;Beamter;BW;278;Bruchsal – Schwetzingen;AfD;Alternative für Deutschland;;;;;
;;Amann;Harold;m;1967;Anzing;Freilassing;Dipl.-Kaufmann;;;;;;BY;BP;Bayernpartei;2;
;;Ametsbichler;Tobias;m;1970;Glonn;Steinhöring;Revisor;;;;;;BY;DiB;DEMOKRATIE IN BEWEGUNG;8;
;;Ammermann;Rainer;m;1971;Hamburg;Dortmund;IT-Sachbearbeiter;;;;;;HH;BGE;Bündnis Grundeinkommen;1;
;;Amoozegar;Nick Papak;m;1990;Fulda;Neustadt am Rübenberge;Student;HE;174;Fulda;DIE LINKE;DIE LINKE;HE;DIE LINKE;DIE LINKE;6;
;;Amthor;Philipp;m;1992;Ueckermünde;Ueckermünde;Jurist;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;MV;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;6;
;;Amtsberg;Luise;w;1984;Berlin;Greifswald;MdB / Islamwissenschaftlerin;SH;5;Kiel;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;SH;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;X
;;Anders;Kathrin;w;1982;Bad Vilbel;Frankfurt am Main;Dipl.-Sozialpädagogin (FH);HE;177;Wetterau I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;;;;;
;;Anderson;Christine;w;1968;Limburg a.d. Lahn;Eschwege;Hausfrau;HE;178;Rheingau-Taunus – Limburg;AfD;Alternative für Deutschland;HE;AfD;Alternative für Deutschland;12;
;;Andre;Harald;m;1949;Stuttgart;Immenstadt im Allgäu;Rentner;BW;258;Stuttgart I;MLPD;Marxistisch-Leninistische Partei Deutschlands;BW;MLPD;Marxistisch-Leninistische Partei Deutschlands;4;
;;Andreae;Kerstin;w;1968;Freiburg im Breisgau;Schramberg;Dipl.-Volkswirtin;BW;281;Freiburg;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;BW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;X
;;Andrejewski;Michael;m;1959;Anklam;Baden-Baden;Rechtsanwalt;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;NPD;Nationaldemokratische Partei Deutschlands;MV;NPD;Nationaldemokratische Partei Deutschlands;2;
;;Angenendt;Jürgen;m;1958;Mülheim an der Ruhr;Duisburg;Geschäftsführer;;;;;;NW;SPD;Sozialdemokratische Partei Deutschlands;71;
;von;Angern;Eva;w;1976;Magdeburg;Magdeburg;MdL / Juristin;ST;69;Magdeburg;DIE LINKE;DIE LINKE;ST;DIE LINKE;DIE LINKE;5;
;;Angerstein;Nicole;w;1973;Niedere Börde;Magdeburg;Sozialversicherungsfachangestellte;;;;;;ST;MG;Madgeburger Gartenpartei;2;
;Prinz von;Anhalt Dessau;Constantin Leopold;m;1947;Tegernsee;Stuttgart;Auktionator;BY;223;Bad Tölz-Wolfratshausen – Miesbach;AfD;Alternative für Deutschland;;;;;
;;Anhorn;Jens;m;1980;Sindelfingen;Böblingen;Bankkaufmann;;;;;;BW;AfD;Alternative für Deutschland;15;
;;Annen;Niels;m;1973;Hamburg;Hamburg;Historiker;HH;20;Hamburg-Eimsbüttel;SPD;Sozialdemokratische Partei Deutschlands;HH;SPD;Sozialdemokratische Partei Deutschlands;4;X
;;Anschütz;Elisabeth;w;1962;Windeck;Gummersbach;Hauswirtschaftsmeisterin;NW;97;Rhein-Sieg-Kreis I;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;27;
;;Ansin;Rebecca;w;1989;Karlsruhe;Toronto;Schülerin;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;19;
;;Anspach-Papa;Kornelia;w;1961;Illingen;Hüttigweiler;Regierungsbeschäftigte;;;;;;SL;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;6;
;;Antrup;Carsten;m;1969;Lienen;Osnabrück;SAP-/IT-Berater;NW;128;Steinfurt III;FDP;Freie Demokratische Partei;NW;FDP;Freie Demokratische Partei;27;
;;Apel;Rainer Karl-Heinz Hans-Helmut;m;1948;Wiesbaden;Hannover;Journalist;;;;;;HE;BüSo;Bürgerrechtsbewegung Solidarität;5;
Dr.;;Appelt;Andreas Michael Otto;m;1951;Bad Berleburg;Leipzig;Arzt;NW;148;Siegen-Wittgenstein;AfD;Alternative für Deutschland;;;;;
;;Applegate;Philipp;m;1988;Köln;Bad Hersfeld;Student;;;;;;NW;DIE LINKE;DIE LINKE;28;
;;Appoh;Mark Adrian;m;1985;Frankfurt am Main;Würzburg;Kommunikationsberater;;;;;;HE;BGE;Bündnis Grundeinkommen;4;
;;Araki;Chaker;m;1972;Berlin;Beirut;Dipl.-Ing. Fahrzeugtechnik;BE;78;Berlin-Spandau – Charlottenburg Nord;MLPD;Marxistisch-Leninistische Partei Deutschlands;BE;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;
;;Archner;Roman;m;1980;Berlin;Berlin;Webdesigner;BE;81;Berlin-Tempelhof-Schöneberg;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;BE;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;68;
;;Arend-Langenbach;Kerstin;w;1971;Sankt Goar;Oberwesel;Dipl.-Betriebswirtin;;;;;;RP;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;21;
;;Arens;Marianne;w;1952;Frankfurt am Main;Bern, Schweiz;techn. Zeichnerin i. R.;HE;182;Frankfurt am Main I;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;;;;;
;;Arenz;Udo Peter;m;1964;Kelkheim (Taunus);Leverkusen;Produktmanager;;;;;;HE;ÖDP;Ökologisch-Demokratische Partei;2;
;;Aretz;Henning;m;1956;Essen;Bonn;Volljurist / Partner einer M&A-Gesellschaft;;;;;;NW;CDU;Christlich Demokratische Union Deutschlands in Niedersachsen;59;
;;Arifi;Krenar;m;1964;Landsberg am Lech;Tirana, Albanien;Organisator;;;;;;BY;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;32;
;;Armbrüster;Ralf;m;1970;Blieskastel;Landau in der Pfalz;IT-Unternehmer;;;;;;SL;FDP;Freie Demokratische Partei;10;
;;Arndt;Alfred Jakob;m;1949;Mörfelden-Walldorf;Mörfelden;Rentner;;;;;;HE;DKP;Deutsche Kommunistische Partei;15;
;;Arndt;Hans;m;1957;Ludwigshafen am Rhein;Eitorf;Kraftwerksmeister;RP;207;Ludwigshafen/Frankenthal;FREIE WÄHLER;FREIE WÄHLER;RP;FREIE WÄHLER;FREIE WÄHLER;9;
;;Arndt;Helena;w;1982;Göttingen;Duschanbe, Tadschikistan;Politikwissenschaftlerin;;;;;;NI;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;2;
;;Arndt;Klaus Joachim;m;1966;Braunschweig;Hofgeismar;Dipl.-Ing. / Fachschullehrer;;;;;;NI;ÖDP;Ökologisch-Demokratische Partei;3;
;;Arndt-Brauer;Ingrid;w;1961;Horstmar;Marburg;MdB / Dipl.-Kauffrau / Dipl.-Soziologin;NW;124;Steinfurt I – Borken I;SPD;Sozialdemokratische Partei Deutschlands;NW;SPD;Sozialdemokratische Partei Deutschlands;14;X
;;Arnecke;Dagmar;w;1951;Berlin;Halle (Saale);Rentnerin;BE;86;Berlin-Lichtenberg;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
;;Arnold;Alexander;m;1991;Weitramsdorf;Coburg;Student;BY;238;Coburg;FDP;Freie Demokratische Partei;BY;FDP;Freie Demokratische Partei;46;
;;Arnold;Bendrick;m;1946;Aschaffenburg;Berlin;Rentner;BY;247;Aschaffenburg;MLPD;Marxistisch-Leninistische Partei Deutschlands;BY;MLPD;Marxistisch-Leninistische Partei Deutschlands;17;
;;Arpaschi;Alexander;m;1970;Karlsruhe;Karlsruhe;Dipl.-Ing. Maschinenbau;BW;272;Karlsruhe-Land;AfD;Alternative für Deutschland;;;;;
;;Aschenbach;Maximilian Bernd;m;1985;Dresden;Erfurt;Künstler;;;;;;SN;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;
;;Aschenberg-Dugnus;Christine;w;1959;Strande;Eppstein / Ts.;Rechtsanwältin;SH;4;Rendsburg-Eckernförde;FDP;Freie Demokratische Partei;SH;FDP;Freie Demokratische Partei;3;
;;Aschenbrenner;Arnold;m;1951;Essen;Soltendieck;Fernmeldemonteur;BY;216;Ingolstadt;MLPD;Marxistisch-Leninistische Partei Deutschlands;;;;;
Dr.;;Aschenbrenner;Doris;w;1985;Gerbrunn;Coburg;Dipl.-Informatikerin Robotik;BY;238;Coburg;SPD;Sozialdemokratische Partei Deutschlands;BY;SPD;Sozialdemokratische Partei Deutschlands;28;
;;Assenmacher;Adrian;m;1989;Trier;Kaiserslautern;wiss. Mitarbeiter;RP;203;Trier;FDP;Freie Demokratische Partei;RP;FDP;Freie Demokratische Partei;14;
;;Aßmann;Mario;m;1964;Meißen;Dresden;Tierheimleiter;;;;;;SN;AfD;Alternative für Deutschland;17;
;;Ates;Özden;w;1970;Duisburg;Pinarbasi-Kayseri, Türkei;Kommunikationswissenschaftlerin;NW;115;Duisburg I;DIE LINKE;DIE LINKE;NW;DIE LINKE;DIE LINKE;21;
;;Ates;Zeki;m;1962;Grenzach-Wyhlen;Erzincan, Türkei;Industriearbeiter;BW;282;Lörrach – Müllheim;EB: Ates;"\Internationalistische Liste\""""";;;;;
;;Auerbach;Kerstin;w;1969;Burg;Burg;Lehrerin;ST;67;Börde – Jerichower Land;DIE LINKE;DIE LINKE;;;;;
;;Auerbach;Martin;m;1976;Esslingen am Neckar;Backnang;Jugend- und Heimerzieher;BW;261;Esslingen;DIE LINKE;DIE LINKE;;;;;
;;Auernhammer;Artur;m;1963;Weißenburg i.Bay.;Oberhochstatt;MdB / Landwirt;BY;241;Ansbach;CSU;Christlich-Soziale Union in Bayern e.V.;BY;CSU;Christlich-Soziale Union in Bayern e.V.;38;X
;;Augspurger;Helmut;m;1956;Mannheim;Mannheim;Industriekaufmann;;;;;;BW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;21;
;;Augustin;Dennis;m;1970;Ludwigslust;Hamburg;Architekt;MV;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;AfD;Alternative für Deutschland;MV;AfD;Alternative für Deutschland;4;
;;Aulenbacher;Susanne;w;1958;Saarbrücken;Singen;Elektrikerin;;;;;;SL;MLPD;Marxistisch-Leninistische Partei Deutschlands;2;
;;Aulila;Marcel;m;1991;Spaichingen;Ulm;Angestellter im techn. Vertrieb;BW;285;Rottweil – Tuttlingen;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;17;
;;Aumeier;Frank;m;1975;Cham;Kötzting;Sozialversicherungsfachangestellter;BY;234;Schwandorf;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;11;
;;Aumer;Peter;m;1976;Regenstauf;Regensburg;Dipl.-Betriebswirt (FH);BY;233;Regensburg;CSU;Christlich-Soziale Union in Bayern e.V.;;;;;
;;Auricht;Jeannette;w;1970;Berlin;Berlin;kfm. Angestellte;BE;85;Berlin-Marzahn-Hellersdorf;AfD;Alternative für Deutschland;;;;;
;;Außendorf;Maik;m;1971;Bergisch Gladbach;Hiltrup (jetzt Münster);Dipl.-Mathematiker;NW;100;Rheinisch-Bergischer Kreis;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;NW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;24;
;;Aust;Robert Paul;m;1962;Erlangen;Erlangen;Dipl.-Ingenieur;;;;;;BY;AfD;Alternative für Deutschland;28;
;;Austria-Zink;Hans Günter;m;1945;Sankt Augustin;Braubach;Großhandelskaufmann;;;;;;NW;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;7;
;;Avenarius;Christian Richard;m;1959;Dresden;München;Oberstaatsanwalt;SN;159;Dresden I;SPD;Sozialdemokratische Partei Deutschlands;SN;SPD;Sozialdemokratische Partei Deutschlands;11;
