Adresse,Stimmart,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,"Abgeordneten-
hauswahlkreis","Bundestags-
wahlkreis",OstWest,Wahlberechtigte insgesamt,Wahlberechtigte A1,Wahlberechtigte A2,Wahlberechtigte A3,Wähler,Wähler B1,Ungültige Stimmen,Gültige Stimmen,CDU,SPD,DIE LINKE,GRÜNE,AfD,PIRATEN,FDP,Die PARTEI,FREIE WÄHLER,ÖDP,BüSo,MLPD,SGP,B*,BGE,DiB,DKP,DM,Die Grauen,du.,MENSCHLICHE WELT,"Gesundheits-
forschung","Tierschutz-
partei",V-Partei³,DIE FRAUEN,EB Schirm,EB Felde-Bajerowitz,EB Fielsch,EB Wendt,EB Blume,EB Pape,EB Beckmann,MIETERPARTEI,NPD,EB Ritter,EB Hasel,EB Snelinski
01W120,1,01,Mitte,120,W,01,75,O,1091,680,411,0,544,17,6,538,82,92,112,141,41,0,45,14,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01W121,1,01,Mitte,121,W,01,75,O,1124,691,433,0,562,0,3,559,101,119,98,151,27,0,39,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W122,1,01,Mitte,122,W,01,75,O,1234,788,446,0,643,25,4,639,102,134,120,190,21,0,48,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W123,1,01,Mitte,123,W,01,75,O,1035,699,336,0,524,14,0,524,100,99,89,153,18,0,50,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01B1A,1,01,Mitte,1A,B,01,75,O,0,0,0,0,2258,2258,10,2248,640,461,281,417,97,0,258,55,9,17,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
01B1B,1,01,Mitte,1B,B,01,75,O,0,0,0,0,1595,1595,13,1582,423,302,233,280,97,0,200,29,2,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
01B1C,1,01,Mitte,1C,B,01,75,O,0,0,0,0,1437,1437,6,1431,349,288,209,335,70,0,123,28,8,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
01B1D,1,01,Mitte,1D,B,01,75,O,0,0,0,0,1704,1704,7,1697,379,298,269,452,66,0,160,45,3,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
01B1E,1,01,Mitte,1E,B,01,75,O,0,0,0,0,2052,2052,13,2039,454,418,274,523,60,0,212,62,7,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
01W200,1,01,Mitte,200,W,02,75,O,902,643,259,0,454,3,4,450,99,74,124,34,71,0,34,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W201,1,01,Mitte,201,W,02,75,O,1142,752,390,0,547,12,8,539,151,119,98,46,64,0,43,9,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01W202,1,01,Mitte,202,W,02,75,O,1159,697,462,0,474,8,10,464,114,81,108,32,64,0,45,8,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W203,1,01,Mitte,203,W,02,75,O,1081,636,445,0,397,5,5,392,73,83,123,37,47,0,18,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W204,1,01,Mitte,204,W,02,75,O,1971,1193,778,0,849,12,11,838,221,171,162,74,87,0,92,20,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W205,1,01,Mitte,205,W,02,75,O,1244,862,382,0,568,5,9,559,103,112,163,48,76,0,30,19,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W206,1,01,Mitte,206,W,02,75,O,1365,889,476,0,572,6,5,567,114,95,168,54,76,0,30,21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
01W207,1,01,Mitte,207,W,02,75,O,1149,730,419,0,535,5,9,526,88,121,173,41,61,0,23,11,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W208,1,01,Mitte,208,W,02,75,O,915,548,367,0,436,11,3,433,66,87,62,143,20,0,33,18,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W209,1,01,Mitte,209,W,02,75,O,1255,857,398,0,650,9,10,640,94,125,151,159,39,0,44,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W210,1,01,Mitte,210,W,02,75,O,1156,765,391,0,588,6,6,582,115,113,108,136,41,0,36,23,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W211,1,01,Mitte,211,W,02,75,O,898,660,238,0,468,3,1,467,64,75,140,90,53,0,19,14,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
01W212,1,01,Mitte,212,W,02,75,O,882,597,285,0,481,14,4,477,81,82,105,107,32,0,41,21,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W213,1,01,Mitte,213,W,02,75,O,651,448,203,0,300,8,4,296,48,54,87,43,29,0,11,18,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W214,1,01,Mitte,214,W,02,75,O,840,544,296,0,357,4,2,355,61,62,115,34,43,0,23,11,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W215,1,01,Mitte,215,W,02,75,O,1018,686,332,0,529,1,10,519,95,97,177,31,78,0,24,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W216,1,01,Mitte,216,W,02,75,O,953,647,306,0,493,3,8,485,73,77,173,44,79,0,20,13,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W217,1,01,Mitte,217,W,02,75,O,1076,775,301,0,451,3,3,448,76,77,176,33,53,0,7,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
01W218,1,01,Mitte,218,W,02,75,O,1530,1142,388,0,803,7,12,791,171,131,280,37,119,0,26,18,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01W219,1,01,Mitte,219,W,02,75,O,342,273,69,0,172,5,0,172,32,23,62,12,19,0,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W220,1,01,Mitte,220,W,02,75,O,796,538,258,0,346,5,6,340,53,52,132,28,49,0,11,9,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01W221,1,01,Mitte,221,W,02,75,O,1519,996,523,0,725,0,5,720,155,145,129,91,78,0,79,28,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
01W222,1,01,Mitte,222,W,02,75,O,905,632,273,0,434,5,6,428,70,72,172,29,47,0,17,14,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01W223,1,01,Mitte,223,W,02,75,O,1508,980,528,0,775,10,11,764,121,168,250,89,79,0,31,19,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
